project_id,project_name,description,country_name,state_name,city_name,currency,budget_raw,budget_usd_clean,sector_main,project_type,is_infrastructure_project,is_megaproject,delivery_method,timestamp,timestamp_label,source,url,failed_or_problematic
376,Beaver Hall Residence Sanitary Drainage/Suites Renovations,No Description,Canada,Ontario,London,CAD,2999999.0,2304440.231853,"Commercial, Water Supply And Storage, Education, Waste Processing And Treatment, Government, Raw Materials",Unknown,True,False,Unknown,2022-06-21,publish_date,DODGE,https://www.construction.com/projects/dr-202100575185-beaver-hall-residence-sanitary-drainagesuites-renovations,0
377,Perimeter Fencing and Lighting Replacement,EF236-222065 Replacement of perimeter fencing and lighting at the Cowansville establishment,Canada,Quebec,Cowansville,CAD,250000.0,186082.5,"Commercial, Road",Unknown,True,False,Unknown,2023-05-22,publish_date,DODGE,https://www.construction.com/projects/dr-202300051076-perimeter-fencing-and-lighting-replacement,0
378,Hermitage Park Trail Reconstruction & Leash Free Area,"The Town of Ajax is soliciting Bids from qualified Contractors for the supply of all labour, equipment, products, fuel and materials necessary to complete the Hermitage Park Trail Reconstruction and construction of a leash free area within the Town of Ajax.",Canada,Ontario,Ajax,CAD,315701.0,234985.72533,"Commercial, Car Parking, Road, Mass Transit, Government, Automotive, Rail",Unknown,True,False,Unknown,2023-08-16,publish_date,DODGE,https://www.construction.com/projects/dr-202300264375-hermitage-park-trail-reconstruction-leash-free-area,0
379,Pacific View Low Rise Apartment Buildings,Construct 2 x 4 storey apartment buildings with a total of 96 units - green roof - alternative ground source heating and cooling systems - solar thermal units - on site electric car share - high performance glazing - low flow fixtures - compact fluorescent and LED lights - energy demand meters - storm water management - framing estimated,Canada,British Columbia,Colwood,CAD,14999999.0,11964389.202374,"Automotive, Electric Vehicles (Evs), Geothermal, Water Supply And Storage, Power Generation (Ccgt), Residential, Commercial, Solar, Manufacturing (Industrial)",Unknown,True,False,Unknown,2021-05-21,publish_date,DODGE,https://www.construction.com/projects/dr-200800800510-pacific-view-low-rise-apartment-buildings,0
380,Sarnia Supportive Housing and Friendship Center REBID,A proposed 40-unit Indigenous affordable housing project and new home for the Sarnia-Lambton Native Friendship Centre.,Canada,Ontario,Sarnia,CAD,18000000.0,13397940.0,"Manufacturing (Industrial), Residential, Commercial",Unknown,True,False,Unknown,2024-11-14,publish_date,DODGE,https://www.construction.com/projects/dr-202000740403-sarnia-supportive-housing-and-friendship-center-rebid,0
381,Bassett Drain Construction,The project involves the construction of a replacement access bridge and new enclosure in the Bassett Drain. This proposed bridge replacement and new enclosure is intended to provide a safer access to the residential lands and increase the front lawn area of MN2436.,Canada,Ontario,Essex,CAD,81360.0,62496.43992,"Bridge, Residential, Government, Road, Commercial, Waste Processing And Treatment",Unknown,True,False,Unknown,2022-05-13,publish_date,DODGE,https://www.construction.com/projects/dr-202200589885-bassett-drain-construction,0
382,Crossdock Facility Building,"Scott Builders as Construction Managers wishes to invite you to submit pricing for a new 32,500 square foot cross dock facility. The Building will be conventional steel with a Pre-Cast Concrete exterior wall and metal cladding, with 2 storey office fully furnished. We are currently tendering for all scopes of work.",Canada,British Columbia,Kamloops,CAD,2999999.0,2392877.20237399,"Commercial, Metal, Cement, Residential, Steel, Government, Manufacturing (Industrial)",Unknown,False,False,Unknown,2021-06-14,publish_date,DODGE,https://www.construction.com/projects/dr-202100654999-crossdock-facility-building,0
383,Asphalt Concrete & Turf Repairs IQC,"The work under this Contract generally consists of the replacement of asphalt, concrete sidewalks, curbs and turf at various locations, as required by the City. To a lesser extent, this Contract may also include interlocking brick adjustments, maintenance hole and catch basin adjustments. The works associated with this Contract are as a result of planned replacement, accessibility improvements, development applications, utility repairs, water/sewer installations, park land improvements and ot...",Canada,Ontario,Stratford,CAD,450581.0,346112.443407,"Commercial, Water Supply And Storage, Cement, Power Transmission, Road, Waste Processing And Treatment, Car Parking, Government, Automotive, Power Generation (Ccgt)",Unknown,True,False,Unknown,2022-04-20,publish_date,DODGE,https://www.construction.com/projects/dr-202200526250-asphalt-concrete-turf-repairs-iqc,0
385,WaiNWRight - Base Roads Phase 2 Asphalt,"The work includes, but is not necessarily limited to, the supply of labour, material, supervision and equipment necessary for various road works to be conducted, pave with asphalt, re-landscape areas disturbed by road construction, and provide traffic control during construction for the Department of National Defence (DND) at 3rd Canadian Division Support Base (3CDSB) Wainwright, Alberta.",Canada,Alberta,Wainwright,CAD,540201.0,414953.777547,"Road, Commercial",Unknown,True,False,Unknown,2022-06-10,publish_date,DODGE,https://www.construction.com/projects/dr-202200511437-wainwright-base-roads-phase-2-asphalt,0
386,Norland Community Centre Renovations,"The City is requesting quotations, including all labour, fuel, equipment and materials necessary to complete interior renovations including, but not limited to; new washroom construction, flooring, kitchen renovations, electrical and mechanical infrastructure and accessibility upgrades to the Norland Community Centre located at 7675 Highway 35 North, Norland, Ontario.",Canada,Ontario,Richmond Hill,CAD,422972.0,314830.74876,"Road, Power Generation (Ccgt), Commercial, Manufacturing (Industrial), Government",Unknown,True,False,Unknown,2025-09-11,publish_date,DODGE,https://www.construction.com/projects/dr-202500325698-norland-community-centre-renovations,0
387,General Repairs and Contracting,"The Town of Newmarket (The Owner) is inviting proposals from experienced and responsible Contractors to establish Standing Offers with qualified Contractors for the provision of General Repair and Contracting Services to be carried out on an as needed basis at various Town of Newmarket facilities, parks and trails, Libraries and Central York Fire Services (CYFS) Facilities located in the Town of Newmarket and Aurora, including all labour, materials and equipment required to complete all assig...",Canada,Ontario,Newmarket,CAD,1000000.0,768147.0,"Car Parking, Education, Government, Automotive, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2022-03-03,publish_date,DODGE,https://www.construction.com/projects/dr-202100783944-general-repairs-and-contracting,0
388,Science North Cafeteria Renovations,This contract is for the renovations to the existing Science North cafeteria at 100 Ramsey lake Road in Sudbury Ontario.,Canada,Ontario,Sudbury,CAD,2999999.0,2232989.25567,"Road, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2023-04-07,publish_date,DODGE,https://www.construction.com/projects/dr-202300115161-science-north-cafeteria-renovations,0
389,Clair-Soleil School Asset Maintenance Work,"Asset maintenance work at the Clair-Soleil school at 150, rue Plante in Saint-Nicolas.",Canada,Quebec,Quebec,CAD,749999.0,558246.75567,"Government, Commercial, Education",Unknown,True,False,Unknown,2023-11-06,publish_date,DODGE,https://www.construction.com/projects/dr-202300409724-clair-soleil-school-asset-maintenance-work,0
390,Maurice Londry CC Barrier Free Washroom Addition,Tender for the Exterior Siding Project at the Maurice Londry Community Center (MLCC),Canada,Ontario,South Porcupine,CAD,35800.0,28555.0107999999,"Government, Road, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2021-09-03,publish_date,DODGE,https://www.construction.com/projects/dr-202100668964-maurice-londry-cc-barrier-free-washroom-addition,0
391,Local Urban Development area of Rapid City Wastewater Treatment Lagoon,Project to address necessary study and licencing required for the Local Urban Development area of Rapid City Wastewater Treatment Lagoon.,Canada,Unknown,Unknown,CAD,85000.0,65480.3449999999,"Water Supply And Storage, Government",Unknown,False,False,Unknown,2017-06-21,estimated_start_date,ManitobaProjects,Missing URL,0
392,Arthabaska Community Center Redevelopment,"Redevelopment work at the Arthabaska Community Center at 735, boul. from Bois-Francs Sud to Victoriaville.",Canada,Quebec,Victoriaville,CAD,2600000.0,1935258.0,"Government, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2024-07-09,publish_date,DODGE,https://www.construction.com/projects/dr-202200591327-arthabaska-community-center-redevelopment,0
393,Salt & Sand Storage Facility,"This Request for Proposal (the ?RFP?) is an invitation by the Town of Cochrane (the ?Town? or ?Owner?) to submit non-binding proposals for the provision of a refurbishment of the Salt & Sand Facility at the Town of Cochrane Operations Yard located at 124 Griffin Road - Cochrane. The ?Service? includes repair and re-coat of the steel structure, replacement of fabric cover, and replacement of eroded Lego blocks (as further discussed Appendix A).",Canada,Alberta,Cochrane,CAD,151774.0,121058.888524,"Commercial, Manufacturing (Industrial), Residential, Steel, Road, Government, Consumer Products, Metal, Raw Materials",Unknown,True,False,Unknown,2021-06-16,publish_date,DODGE,https://www.construction.com/projects/dr-202100601354-salt-sand-storage-facility,0
394,Ridgeway Crystal Beach High School Development,Ridgeway Crystal Beach High School Development / Redevelopment of Surplus School Site,Canada,Ontario,Fort Erie,CAD,9999999.0,7681469.231853,"Commercial, Government, Education",Unknown,True,False,Unknown,2022-10-21,publish_date,DODGE,https://www.construction.com/projects/dr-201900794496-ridgeway-crystal-beach-high-school-development,0
